id	domain	intent	src_utt	translated-tgt_utt
3370	Airconditioner	GetHumidity	show me the humidity level	pokaż mi jaki jest poziom wilgotności
3371	Airconditioner	GetHumidity	show me the humidity in here	pokaż mi jaki jest poziom wilgotności
3372	Airconditioner	GetHumidity	tell me the humidity in here	powiedz mi jaki jest poziom wilgotności
3373	Airconditioner	GetHumidity	tell me what's the humidity	powiedz mi jaki jest poziom wilgotności
3374	Airconditioner	GetHumidity	tell me what's the humidity level	powiedz jaki jest poziom wilgotności
3375	Airconditioner	GetHumidity	give me the humidity in here	daj mi wilgotność tutaj
3376	Airconditioner	GetHumidity	give me the humidity level	podaj mi jaki jest poziom wilgotności
3377	Airconditioner	GetHumidity	give me the humidity level in here	podaj mi jaki jest poziom wilgotności
3378	Airconditioner	GetHumidity	tell me how humid is the air in here	powiedz mi jaki jest poziom wilgotności
3379	Airconditioner	GetHumidity	probe humidity level	sprawdź poziom wilgotności
3380	Airconditioner	GetHumidity	i feel that it is too dry	czuję, że jest za sucho
3381	Airconditioner	GetTemperatureFromDevice	check what the spot for mister says	sprawdź co mówi miejsce dla mistrza
3382	Airconditioner	GetTemperatureFromDevice	check what the spa thermostat says	sprawdź co mówi termostat w spa
3383	Airconditioner	GetTemperatureFromDevice	check what the max room thermostat says	sprawdź temperaturę maksymalną w pokoju
3384	Airconditioner	GetTemperatureFromDevice	check the temperature on the adam room sensor	sprawdź temperaturę na czujniku w salonie adam
3385	Airconditioner	GetTemperatureFromDevice	check the temperature on the enterance hall sensor	sprawdź temperaturę na czujniku w sali konferencyjnej
3386	Airconditioner	GetTemperatureFromDevice	check the temperature on the foyer thermostat	sprawdź temperaturę na termostacie w foyer
3387	Airconditioner	GetTemperatureFromDevice	check the temperature on the pantry thermostat	sprawdź temperaturę na termostacie w pantry
3388	Airconditioner	GetTemperatureFromDevice	check what's on the reception sensor	sprawdź czujnik przyjęcia
3389	Airconditioner	GetTemperatureFromDevice	check what's on the reception room sensor	sprawdź czujnik w salonie
3390	Airconditioner	GetTemperatureFromDevice	check what's on the den sensor	sprawdź czujnik
3391	Airconditioner	GetTemperatureFromDevice	check what the garage thermostat says	sprawdź co mówi termostat garażowy
3392	Airconditioner	GetTemperatureFromDevice	check the temperature on the wine cellar thermostat	sprawdź temperaturę na termostacie w wołowinie
3393	Airconditioner	GetTemperatureFromDevice	check what's on the attic sensor	sprawdź czujnik aktywności
3394	Airconditioner	GetTemperatureFromDevice	show the temperature on the bathroom thermostat	pokaż temperaturę na termostacie w łazience
3395	Airconditioner	GetTemperatureFromDevice	show what's on the powder room sensor	pokaż czujnik w powodzi
3396	Airconditioner	GetTemperatureFromDevice	show what's on the laundry room sensor	pokaż czujnik prania
3397	Airconditioner	GetTemperatureFromDevice	show what's on the storage room sensor	pokaż czujnik w salonie
3398	Airconditioner	GetTemperatureFromDevice	show me the temperature on the kids room sensor	pokaż mi temperaturę na czujniku w pokoju dziecięcym
3399	Airconditioner	GetTemperatureFromDevice	show me the temperature on the nursery sensor	pokaż mi temperaturę na czujniku pielęgnacji
3400	Airconditioner	GetTemperatureFromDevice	show me the temperature on the playroom thermostat	pokaż mi temperaturę na termostacie w salonie
3401	Airconditioner	GetTemperatureFromDevice	show me what's on the home theater room sensor	pokaż mi czujnik w domu w kinach
3402	Airconditioner	GetTemperatureFromDevice	show the temperature on the kitchen thermostat	pokaż temperaturę na termostacie w kuchni
3403	Airconditioner	GetTemperatureFromDevice	show what's on the hall sensor	pokaż czujnik
3404	Airconditioner	GetTemperatureFromDevice	show me the temperature on the bedroom sensor	pokaż mi temperaturę w sensorze sypialni
3405	Airconditioner	GetTemperatureFromDevice	show me the temperature on the spa thermostat	pokaż mi temperaturę na termostacie w spa
3406	Airconditioner	GetTemperatureFromDevice	show me what's on the max room sensor	pokaż mi co jest w czujniku maksymalnym
3407	Airconditioner	GetTemperatureFromDevice	tell what the kitchen thermostat says	powiedz co mówi termostat kuchni
3408	Airconditioner	GetTemperatureFromDevice	tell what's on the hall sensor	powiedz co jest w czujniku sali
3409	Airconditioner	GetTemperatureFromDevice	tell what's on the bedroom sensor	powiedz co jest w czujniku sypialni
3410	Airconditioner	GetTemperatureFromDevice	tell what's on the spa sensor	powiedz co jest w czujniku spa
3411	Airconditioner	GetTemperatureFromDevice	tell me what the max room temperature sensor says	powiedz mi co mówi czujnik temperatury maksymalnej w pokoju
3412	Airconditioner	GetTemperatureFromDevice	tell me what the adam room temperature sensor says	powiedz mi co mówi czujnik temperatury w salonie
3413	Airconditioner	GetTemperatureFromDevice	tell me what the keeping room temperature censor says	powiedz co mówi censator temperatury w salonie
3414	Airconditioner	GetTemperatureFromDevice	tell me what the keeping room temperature sensor says	powiedz mi co mówi czujnik temperatury w salonie
3415	Airconditioner	GetTemperatureFromDevice	tell me what the enterance hall thermostat says	powiedz mi co mówi termostat w salonie
3416	Airconditioner	GetTemperatureFromDevice	tell me what the foyer thermostat says	powiedz mi co mówi termostat foyer
3417	Airconditioner	GetTemperatureFromDevice	tell me what's on the dining room sensor	powiedz mi co jest w czujniku w jadalni
3418	Airconditioner	GetTemperatureFromDevice	tell me what's on the reception sensor	powiedz mi co jest w czujniku przyjęcia
3419	Airconditioner	GetTemperatureFromDevice	tell me what's on the reception room censor	powiedz mi co jest w censatorze w salonie
3420	Airconditioner	GetTemperatureFromDevice	tell me what's on the reception room sensor	powiedz mi co jest w czujniku w salonie
3421	Airconditioner	GetTemperatureFromDevice	tell what the keeping room thermostat says	powiedz co mówi termostat w salonie
3422	Airconditioner	GetTemperatureFromDevice	tell what's on the enterance hall sensor	powiedz co jest w czujniku przychodzących
3423	Airconditioner	GetTemperatureFromDevice	tell me what the foyer temperature sensor says	powiedz mi co mówi czujnik temperatury w foyer
3424	Airconditioner	GetTemperatureFromDevice	tell me what the pantry thermostat says	powiedz mi co mówi termostat pantry
3425	Airconditioner	GetTemperatureFromDevice	tell me what's on the dining room sensor	powiedz mi co jest w czujniku w jadalni
3426	Airconditioner	GetTemperatureFromDevice	give me the temperature of the sun room thermostat	podaj mi temperaturę na termostacie w sali słonecznej
3427	Airconditioner	GetTemperatureFromDevice	give me the temperature of the home office thermostat	podaj mi temperaturę na termostacie w biurze
3428	Airconditioner	GetTemperatureFromDevice	give me the temperature of the library thermostat	podaj temperaturę na termostacie w bibliotece
3429	Airconditioner	GetTemperatureFromDevice	give me the temperature of the reception sensor	podaj mi temperaturę czujnika przyjęcia
3430	Airconditioner	GetTemperatureFromDevice	give me the temperature of the reception room thermostat	podaj mi temperaturę na termostacie w salonie
3431	Airconditioner	GetTemperatureFromDevice	measure the temperature of the laundry room sensor	mierzy temperaturę czujnika prania
3432	Airconditioner	GetTemperatureFromDevice	measure the temperature of the storage room thermostat	zmierza temperaturę termostacie w salonie
3433	Airconditioner	GetTemperatureFromDevice	measure the temperature of the master bedroom thermostat	mierzy temperaturę termostacie w sypialni głównej
3434	Airconditioner	GetTemperatureFromDevice	measure the temperature of the kids room thermostat	zmniejsz temperaturę na termostacie w pokoju dziecięcym
3435	Airconditioner	GetTemperatureFromDevice	measure the temperature of the den sensor	mierzy temperaturę czujnika den
3436	Airconditioner	GetTemperatureFromDevice	measure the temperature of the parlor thermostat	pomiara temperaturę na termostacie w parze
3437	Airconditioner	GetTemperatureFromDevice	what's the temperature on playroom	jaka jest temperatura w sali odtwarzania
3438	Airconditioner	GetTemperatureFromDevice	what's the temperature on playroom	jaka jest temperatura w sali odtwarzania
3439	Airconditioner	GetTemperatureFromDevice	what's the temperature on my game room	jaka jest temperatura w mojej sali gier
3440	Airconditioner	GetTemperatureFromDevice	what's the temperature on my music room	jaka jest temperatura w mojej sali muzycznej
3441	Airconditioner	GetTemperatureFromDevice	what's the temperature on my home theater room	jaka jest temperatura w moim pokoju teatralnym
3442	Airconditioner	GetTemperatureFromDevice	what's the temperature on family room	jaka jest temperatura w pokoju rodzinnym
3443	Airconditioner	GetTemperatureFromDevice	what's the temperature on my sun room	jaka jest temperatura w moim pokoju słonecznym
3444	Airconditioner	GetTemperature	check the temperature on aircon	sprawdź temperaturę na lotniku
3445	Airconditioner	GetTemperature	check the temperature on my cooling system	sprawdź temperaturę na moim systemie chłodzenia
3446	Airconditioner	GetTemperature	show what's the temperature on mmy air conditioning	pokaż jaka jest temperatura na klimatyzacji mmy
3447	Airconditioner	GetTemperature	show what's the temperature on my cooling system	pokaż jaka jest temperatura w moim systemie chłodzenia
3448	Airconditioner	GetTemperature	show what's the temperature on my cooling system	pokaż jaka jest temperatura w moim systemie chłodzenia
3449	Airconditioner	GetTemperature	show what's the temperature on my hvac	pokaż jaka jest temperatura na moim whac
3450	Airconditioner	GetTemperature	show me the temperature on my heating	pokaż mi temperaturę na moim ogrzewaniu
3451	Airconditioner	GetTemperature	show me the temperature on my ac	pokaż mi temperaturę na moim ac
3452	Airconditioner	GetTemperature	show me the temperature on my aircon	pokaż mi temperaturę na moim lotniku
3453	Airconditioner	GetTemperature	show me what's the temperature on my air conditioning	pokaż mi pogodę na moim klimatyzacji
3454	Airconditioner	GetTemperature	tell me the temperature on my cooling system	powiedz mi temperaturę na moim systemie chłodzenia
3455	Airconditioner	GetTemperature	tell me what's the temperature on heating	powiedz mi jaka jest temperatura na ogrzewaniu
3456	Airconditioner	GetTemperature	tell me what's the temperature on ac	powiedz jaka jest temperatura na ac
3457	Airconditioner	GetTemperature	tell me what's the temperature on aircon	powiedz jaka jest temperatura na lotniku
3458	Airconditioner	GetTemperature	tell me what's the temperature on my air conditioning	powiedz jaka jest temperatura w moim klimatyzacji
3459	Airconditioner	GetTemperature	tell me what's the temperature on my cooling system	powiedz jaka jest temperatura w moim systemie chłodzenia
3460	Airconditioner	GetTemperature	tell me what's the temperature on my hvac	powiedz jaka jest temperatura na moim whac
3461	Airconditioner	GetTemperature	give me temperature on my air conditioning	podaj temperaturę na moim klimatyzacji
3462	Airconditioner	GetTemperature	give me temperature on my cooling system	podaj temperaturę na moim systemie chłodzenia
3463	Airconditioner	GetTemperature	give me temperature on my hvac	podaj temperaturę na moim whac
3464	Airconditioner	GetTemperature	give me the temperature on heating	podaj mi pogodę na ogrzewanie
3465	Airconditioner	GetTemperature	give me the temperature on ac	podaj mi temperaturę na ac
3466	Airconditioner	GetTemperature	give me the temperature on my air conditioning	podaj mi temperaturę na moim klimatyzacji
3467	Airconditioner	GetTemperature	give me the temperature on my cooling system	podaj temperaturę na moim systemie chłodzenia
3468	Airconditioner	GetTemperature	give me the temperature on my hvac	podaj mi temperaturę na moim whac
3469	Airconditioner	GetTemperature	measure the temperature on heating	zmniejsz temperaturę na ogrzewanie
3470	Airconditioner	GetTemperature	measure the temperature on ac	pomiń temperaturę na ac
3471	Airconditioner	GetTemperature	measure the temperature on aircon	zmniejsz temperaturę na lotniku
3472	Airconditioner	GetTemperature	measure the temperature on my air conditioning	zmierzyć temperaturę na moim klimatyzacji
3473	Airconditioner	GetTemperature	measure the temperature on my cooling system	zmierzyć temperaturę na moim systemie chłodzenia
3474	Airconditioner	GetTemperature	how many fahrenheits degrees are on my cooling system	ile stopni jazdy jest w moim systemie chłodzenia
3475	Airconditioner	GetTemperature	how many celsius degrees are on my heating	ile stopni celsius jest w moim ociepleniu
3476	Airconditioner	GetTemperature	how many celsius degrees are on my aircon	ile stopni celsius jest na moim lotniku
3477	Airconditioner	GetTemperature	how many kelvins degrees are on my air conditioning	ile degrees kelvin jest w moim klimatyzacji
3478	Airconditioner	GetTemperature	how many kelvins degrees are on my cooling system	ile degrees kelvin jest w moim systemie chłodzącym
3479	Airconditioner	GetTemperature	what temperature do we have in here according to my air conditioning	jaka temperatura jest w moim klimatyzacji
3480	Airconditioner	GetTemperature	what temperature do we have in here according to my cooling system	jaka temperatura jest w tej okolicy zgodnie z moim systemem chłodzenia
3481	Airconditioner	GetTemperature	what temperature do we have in here according to my hvac	jaka temperatura jest w tej okolicy według mojego wacha
3482	Airconditioner	GetTemperature	what temperature is it in here according to my heating	jaka temperatura jest tutaj według mojego ocieplenia
3483	Airconditioner	GetTemperature	what temperature is it in here according to my aircon	jaka temperatura jest tutaj według mojego samolotu
3484	Airconditioner	GetTemperature	what's the temperature in here according to my cooling system	jaka jest temperatura tutaj według mojego systemu chłodzenia
3485	Airconditioner	GetTemperature	what's the temperature in here according to my hvac	jaka jest temperatura tutaj według mojego whaca
3486	Airconditioner	GetTemperature	it is too hot	za gorąco
3487	Airconditioner	GetTemperature	it is too hot	za gorąco
3488	Airconditioner	GetTemperature	it is too hot	za gorąco
3489	Airconditioner	GetTemperature	it is too hot in here	jest tu za gorąco
3490	Airconditioner	GetTemperature	it is too hot in here	jest tu za gorąco
3491	Airconditioner	GetTemperature	it is too hot in here	jest tu za gorąco
3492	Airconditioner	GetTemperature	it is too chilly	za chłodno
3493	Airconditioner	GetTemperature	it is too chilling	za zrelaksowane
3494	Airconditioner	GetTemperature	it is too chilly	za chłodno
3495	Airconditioner	GetTemperature	it is too chilly	za chłodno
3496	Airconditioner	GetTemperature	it is too chilly in here	jest tu za chłodno
3497	Airconditioner	GetTemperature	it is too chilly in here	jest tu za chłodno
3498	Airconditioner	SetTemperatureBetweenValues	set the temperature between 23 degree and 29 degree on my thermostat	nastaw temperaturę na moim termostacie pomiędzy 23 a 29 stopni
3499	Airconditioner	SetTemperatureBetweenValues	set low temperature to 23 degree on my thermostat and the high to 29 degree	ustaw niską temperaturę na moim termostacie na 23 stopni i najwyższą na 29 stopni
3500	Airconditioner	SetTemperatureBetweenValues	set the low temperature to 23 degree on my thermostat and the high to 29 degree	ustaw niską temperaturę na moim termostacie na 23 stopni i najwyższą na 29 stopni
3501	Airconditioner	SetTemperatureBetweenValues	adjust the temperature between 23 degree and 29 degree on my thermostat	dostosuj temperaturę na moim termostacie pomiędzy 23 a 29 stopni
3502	Airconditioner	SetTemperatureBetweenValues	adjust low temperature to 23 degree on my thermostat and the high to 29 degree	dostosuj niską temperaturę na moim termostacie na 23 stopni i najwyższą na 29 stopni
3503	Airconditioner	SetTemperatureBetweenValues	adjust the low temperature to 23 degree on my thermostat and the high to 29 degree	dostosuj niską temperaturę na moim termostacie na 23 stopni i najwyższą na 29 stopni
3504	Airconditioner	SetTemperatureBetweenValues	turn up the temperature above 23 degree but keep it lower than and 29 degree	zrób temperaturę powyżej 23 stopni ale poniżej 29 stopni
3505	Airconditioner	SetTemperatureBetweenValues	turn up the temperature above twenty three degree the peepit lower than in twenty nine degree on thermistete	podkręć temperaturę powyżej dwudziestu trzech stopni temperaturę na termostacie poniżej dwudziestu dziewięć stopni
3506	Airconditioner	SetTemperatureBetweenValues	turn up the temperature above 23 degree but keep it lower than and 29 degree on thermostat	podkręć temperaturę powyżej 23 stopni ale poniżej 29 stopni na termostacie
3507	Airconditioner	SetTemperatureBetweenValues	turn up the temperature above 23 degree but keep it lower than and 29 degree on my thermostat	zrób temperaturę powyżej 23 stopni ale poniżej 29 stopni na moim termostacie
3508	Airconditioner	SetTemperatureBetweenValues	regulate temperature between 23 degree and 29 degree on my thermostat	reguluj temperaturę na moim termostacie pomiędzy 23 a 29 stopni
3509	Airconditioner	SetTemperatureBetweenValues	regulate the temperature between 23 degree and 29 degree on thermostat	regulacja temperatury na termostacie pomiędzy 23 a 29 stopni
3510	Airconditioner	SetTemperatureBetweenValues	regulate the temperature between 23 degree and 29 degree on my thermostat	reguluj temperaturę na moim termostacie pomiędzy 23 a 29 stopni
3511	Airconditioner	SetTemperatureBetweenValues	regulate the low temperature to 23 degree on my thermostat and the high to 29 degree	reguluj niską temperaturę na moim termostacie na 23 stopni i najwyższą na 29 stopni
3512	Airconditioner	SetTemperatureBetweenValues	calibrate temperature between 23 degree and 29 degree on my thermostat	kalibruj temperaturę na moim termostacie pomiędzy 23 a 29 stopni
3513	Airconditioner	SetTemperatureBetweenValues	calibrate the temperature between 23 degree and 29 degree on thermostat	kalibruj temperaturę na termostacie pomiędzy 23 a 29 stopni
3514	Airconditioner	SetTemperatureBetweenValues	calibrate the temperature between 23 degree and 29 degree on my thermostat	kalibruj temperaturę na moim termostacie pomiędzy 23 a 29 stopni
3515	Airconditioner	SetTemperatureBetweenValues	calibrate the low temperature to 23 degree on my thermostat and the high to 29 degree	kalibruj niską temperaturę na moim termostacie na 23 stopni i najwyższą na 29 stopni
3516	Airconditioner	SetTemperatureBetweenValues	set temperature equilibrium between 23 degree and 29 degree degrees	nastaw temperaturę pomiędzy 23 a 29 stopni
3517	Airconditioner	SetTemperatureBetweenValues	balance temperature between 23 degree and 29 degree	zrób temperaturę pomiędzy 23 a 29 stopni
3518	Airconditioner	SetTemperatureBetweenValues	balance temperature between 23 degree and 29 degree degrees	równanie temperatury pomiędzy 23 a 29 stopni
3519	Airconditioner	SetTemperatureOnDevice	change the temperature on powder room thermostat	zmień temperaturę na termostacie w powłokach
3520	Airconditioner	SetTemperatureOnDevice	change the temperature on laundry room thermostat	zmień temperaturę na termostacie w praniu
3521	Airconditioner	SetTemperatureOnDevice	change the temperature on my storage room thermostat	zmień temperaturę na moim termostacie w salonie
3522	Airconditioner	SetTemperatureOnDevice	change the temperature on my master bedroom thermostat	zmień temperaturę na moim termostacie w sypialni
3523	Airconditioner	SetTemperatureOnDevice	change the temperature on my kid's room thermisd out	zmień temperaturę na termostacie w pokoju dziecięcym
3524	Airconditioner	SetTemperatureOnDevice	change the temperature on my guest room thermostat	zmień temperaturę na moim termostacie w pokoju gościnnym
3525	Airconditioner	SetTemperatureOnDevice	change the minimum and maximum temperatures on my playroom thermostat	zmień temperaturę minimalną i maksymalną na termostacie w mojej sali odtwarzania
3526	Airconditioner	SetTemperatureOnDevice	change the minimum and maximum temperatures on my home theater room thermostat	zmień temperaturę minimalną i maksymalną na termostacie w kinie
3527	Airconditioner	SetTemperatureOnDevice	set the temperature on living room thermostat	ustaw temperaturę na termostacie w salonie
3528	Airconditioner	SetTemperatureOnDevice	set the temperature on my kitchen thermostat	ustaw temperaturę na moim termostacie w kuchni
3529	Airconditioner	SetTemperatureOnDevice	set the temperature on my hall thermostat	ustaw temperaturę na moim termostacie w salonie
3530	Airconditioner	SetTemperatureOnDevice	set the temperature on my bedroom thermostat	ustaw temperaturę na moim termostacie w sypialni
3531	Airconditioner	SetTemperatureOnDevice	set the temperature on my spa thermostat	ustaw temperaturę na moim termostacie w spa
3532	Airconditioner	SetTemperatureOnDevice	set the minimum and maximum temperatures on my adam room thermostat	przestaw temperaturę minimalną i maksymalną na moim termostacie w salonie
3533	Airconditioner	SetTemperatureOnDevice	set the minimum and maximum temperatures on my keeping room thermostat	przestaw temperaturę minimalną i maksymalną na moim termostacie w salonie
3534	Airconditioner	SetTemperatureOnDevice	set the minimum and maximum temperatures on my enterance hall thermostat	przestaw temperaturę minimalną i maksymalną na termostacie w salonie
3535	Airconditioner	SetTemperatureOnDevice	set the minimum and maximum temperatures on my pantry thermostat	przestaw temperaturę minimalną i maksymalną na moim termostacie w pantry
3536	Airconditioner	SetTemperatureOnDevice	modify temperature on den thermostat	modyfikuj temperaturę na termostacie
3537	Airconditioner	SetTemperatureOnDevice	modify temperature on parlor thermostat	modyfikuj temperaturę na termostacie w parlor
3538	Airconditioner	SetTemperatureOnDevice	modify temperature on my family room thermostat	zmień temperaturę na termostacie w mojej rodzinnej
3539	Airconditioner	SetTemperatureOnDevice	modify temperature on my home office thermostat	zmień temperaturę na moim termostacie w biurze
3540	Airconditioner	SetTemperatureOnDevice	modify temperature on my library thermostat	modyfikuj temperaturę na moim termostacie w bibliotece
3541	Airconditioner	SetTemperatureOnDevice	modify temperature on my bathroom thermostat	zmień temperaturę na moim termostacie w łazience
3542	Airconditioner	SetTemperatureOnDevice	modify minimum and maximum temperatures on my powder room thermostat	modyfikuj temperaturę minimalną i maksymalną na termostacie w moim pomieszczeniu
3543	Airconditioner	SetTemperatureOnDevice	adjust temperature on game room thermostat	dostosuj temperaturę na termostacie w sali do grania
3544	Airconditioner	SetTemperatureOnDevice	adjust temperature on music room thermostat	dostosuj temperaturę na termostacie w sali muzycznej
3545	Airconditioner	SetTemperatureOnDevice	adjust temperature on my home theater room thermostat	dostosuj temperaturę na moim termostacie w kinie
3546	Airconditioner	SetTemperatureOnDevice	adjust temperature on my home gym thermostat	dostosuj temperaturę na moim termostacie w gimnastyce
3547	Airconditioner	SetTemperatureOnDevice	adjust temperature on my garage thermostat	dostosuj temperaturę na moim termostacie w garażu
3548	Airconditioner	SetTemperatureOnDevice	adjust temperature on my basement thermostat	dostosuj temperaturę na moim termostacie w dole
3549	Airconditioner	SetTemperatureOnDevice	adjust temperature on my wine cellar thermostat	dostosuj temperaturę na moim termostacie w wołowinie
3550	Airconditioner	SetTemperatureOnDevice	a just minimum an maximum temperatures on my attic firmess stat	tylko minimalne temperatury maksymalne na moim statucie firmowej
3551	Airconditioner	SetTemperatureOnDevice	adjust minimum and maximum temperatures on my living room thermostat	dostosuj temperaturę minimalną i maksymalną na termostacie w sypialni
3552	Airconditioner	SetTemperatureOnDevice	adjust minimum and maximum temperatures on my kitchen thermostat	dostosuj temperaturę minimalną i maksymalną na termostacie w kuchni
3553	Airconditioner	SetTemperatureOnDevice	adjust minimum and maximum temperatures on my hall thermostat	dostosuj temperaturę minimalną i maksymalną na termostacie w moim pokoju
3554	Airconditioner	SetTemperatureOnDevice	i want new temperature on entrance hall	chcę nową temperaturę w sali wejściowej
3555	Airconditioner	SetTemperatureOnDevice	i want new temperature on enterance hall	chcę nową temperaturę w salonie
3556	Airconditioner	SetTemperatureOnDevice	i want new temperature on my foyer	chcę nową temperaturę na moim foyerze
3557	Airconditioner	SetTemperatureOnDevice	i want new temperature on my pantry	chcę nową temperaturę na moim pantrycie
3558	Airconditioner	SetTemperatureOnDevice	i want new temperature on my dining room	chcę nową temperaturę w moim jadalni
3559	Airconditioner	SetTemperatureOnDevice	i want new temperature on my reception	chcę nową temperaturę na moim przyjęciu
3560	Airconditioner	SetTemperatureOnDevice	i want different temperature on den	chcę inną temperaturę na den
3561	Airconditioner	SetTemperatureOnDevice	i want different temperature on parlor	chcę inną temperaturę na parze
3562	Airconditioner	SetTemperatureOnDevice	i want different temperature on home office	chcę inną temperaturę w biurze
3563	Airconditioner	SetTemperatureOnDevice	i want different temperature on my storage room	chcę inną temperaturę w moim salonie
3564	Airconditioner	SetTemperatureToValueOnDevice	change temperature on my music room thermostat to 76 degrees fahrenheit	zmień temperaturę na 76 degrees fahrenheit na moim termostacie w salonie
3565	Airconditioner	SetTemperatureToValueOnDevice	change temperature on my home theater room thermostat to 21 degrees celsius	zmień temperaturę na moim termostacie w kinie na 21 degrees celsius
3566	Airconditioner	SetTemperatureToValueOnDevice	change temperature on my home gym thermostat to 18 degree	zmień temperaturę na moim termostacie w gimnastyce na 18 degree
3567	Airconditioner	SetTemperatureToValueOnDevice	change the temperature to 14 degrees celsius on my basement thermostat	zmień temperaturę na moim termostacie w basenie na 14 degrees celsius
3568	Airconditioner	SetTemperatureToValueOnDevice	change the temperature to 17 degree on my wine cellar thermostat	zmień temperaturę na moim termostacie w komórce do wina na 17 stopni
3569	Airconditioner	SetTemperatureToValueOnDevice	change the temperature to 19 degree on my attic thermostat	zmień temperaturę na moim termostacie na 19 stopni
3570	Airconditioner	SetTemperatureToValueOnDevice	change the temperature to 23 degree on my kitchen thermostat	zmień temperaturę na moim termostacie w kuchni na 23 degree
3571	Airconditioner	SetTemperatureToValueOnDevice	change my parlor thermostat to 78 degrees	zmień temperaturę na moim termostacie w salonie na 78 degrees
3572	Airconditioner	SetTemperatureToValueOnDevice	change my family room thermostat to 21 degree	zmień temperaturę na moim termostacie w salonie na 21 degree
3573	Airconditioner	SetTemperatureToValueOnDevice	change my sun room thermostat to 22 degrees celsius	zmień temperaturę na moim termostacie w salonie na 22 degrees celsius
3574	Airconditioner	SetTemperatureToValueOnDevice	change temperature on my home office thermostat to 80 degrees	zmień temperaturę na moim termostacie w biurze na 80 degrees
3575	Airconditioner	SetTemperatureToValueOnDevice	change temperature on my library thermostat to 80 degrees	zmień temperaturę na moim termostacie w bibliotece na 80 degrees
3576	Airconditioner	SetTemperatureToValueOnDevice	change temperature on my bathroom thermostat to 82 degrees	zmień temperaturę na moim termostacie w łazience na 82 degrees
3577	Airconditioner	SetTemperatureToValueOnDevice	change the temperature to twenty skies degrees celcius on my landry room firmased at	zmień temperaturę na twenty skies degrees celcius w mojej skrzynce podpisanej na
3578	Airconditioner	SetTemperatureToValueOnDevice	change the temperature to 77 degrees fahrenheit on my storage room thermostat	zmień temperaturę na moim termostacie w salonie na 77 degrees fahrenheit
3579	Airconditioner	SetTemperatureToValueOnDevice	set temperature on my keeping room thermostat to 19 degrees celsius	ustaw temperaturę na moim termostacie w salonie na 19 degrees celsius
3580	Airconditioner	SetTemperatureToValueOnDevice	set temperature on my enterance hall thermostat to 78 degrees fahrenheit	ustaw temperaturę na moim termostacie w salonie na 78 degrees fahrenheit
3581	Airconditioner	SetTemperatureToValueOnDevice	set the temperature to 78 degrees on my den thermostat	ustaw temperaturę na moim termostacie na 78 degrees
