id	domain	intent	src_utt	translated-tgt_utt	eval_text_translation
3347	Airconditioner	ChangeTemperature	change the maximum temperature on the thermostat	zmień temperaturę maksymalną na termostacie	1
3349	Airconditioner	ChangeTemperature	set the minimum and maximum temperatures on the thermostat	przestaw temperaturę minimalną i maksymalną na termostacie	0
3345	Airconditioner	ChangeTemperature	change the minimum temperature on the thermostat	zmień temperaturę minimalną na termostacie	1
3361	Airconditioner	ChangeTemperature	it is cold in here	tu jest zimno	1
3354	Airconditioner	ChangeTemperature	modify the minimum temperature on the thermostat	modyfikuj temperaturę minimalną na termostacie	1
3346	Airconditioner	ChangeTemperature	chained the maximan temperature on the firmest dout	zmniejsz temperaturę maksymalną na najwyższą temperaturę	0
3353	Airconditioner	ChangeTemperature	set the minimum and maximum temperatures on my thermostat	przestaw temperaturę minimalną i maksymalną na moim termostacie	1
3350	Airconditioner	ChangeTemperature	set the minimum temperature on the thermostat	przestaw temperaturę minimalną na termostacie	1
3869	Calendar	CheckCalendarEventName	when have i scheduled alaina birhday appointment	kiedy zaplanowałem wizytę w alaina birhday	0
3846	Calendar	CheckCalendarEventName	show details of meeting with harry appointment	pokaż szczegóły spotkania z harryem	1
3828	Calendar	CheckCalendarEventName	check appointment called dinner with floyd knapper	sprawdź spotkanie o nazwie kolacja z floyd knapper	1
3862	Calendar	CheckCalendarEventName	display details of flight to south new berlin event	pokaż szczegóły lotu na południe nowe wydarzenie w berlinie	0
3855	Calendar	CheckCalendarEventName	show me details of meeting with adam irons appointment	pokaż mi szczegóły spotkania z adamem ironem	1
3865	Calendar	CheckCalendarEventName	read details of dinner with blanche angustia event	przeczytaj szczegóły obiadu z blanche angustia event	0
3861	Calendar	CheckCalendarEventName	display details of dinner with tommie appointment to me	wyświetl szczegóły obiadu z tommie	1
3854	Calendar	CheckCalendarEventName	show me dinner with chris pencak event to me	pokaż mi kolację z chrisem pencakem	0
3872	Calendar	CheckCalendarEventName	give me information about meeting with hedworth event	podaj mi informacje o wydarzeniu hedworth	0
3850	Calendar	CheckCalendarEventName	show me victor birhday meeting to me	pokaż mi spotkanie wictora birdaya	0
3896	Calendar	CheckCalendarOnDate	find plans May 16th	znajdź plany 16 maja	0
3883	Calendar	CheckCalendarOnDate	read my schedule August 20th	przeczytaj mój kalendarz 20 sierpnia	1
3889	Calendar	CheckCalendarOnDate	am i busy on 12th December	czy jestem zajęty 12 grudnia	1
3886	Calendar	CheckCalendarOnDate	do i have appointments December 10th	czy mam spotkania 10 grudnia	1
3884	Calendar	CheckCalendarOnDate	read my agenda August 21st	przeczytaj mój kalendarz 21 sierpnia	1
3900	Calendar	CheckCalendarOnDate	did i forget about anything today	czy o czymś dzisiaj zapomniałam	1
3894	Calendar	CheckCalendarOnDate	how many meetings do i have on 26th January	ile mam spotkań 26 stycznia	1
3890	Calendar	CheckCalendarOnDate	am i booked on 21st December	czy mam rezerwację na 21 grudnia	1
3899	Calendar	CheckCalendarOnDate	did i forget about anything	czy o czymś zapomniałam	1
3897	Calendar	CheckCalendarOnDate	find events November 24th	znajdź wydarzenia 24 listopada	1
8501	Slack	CheckChannelHistory	get history of slack channel	przełącz historię kanału na slacku	0
8505	Slack	CheckChannelHistory	find the slack channel history	znajdź historię kanału na slacku	1
8507	Slack	CheckChannelHistory	what has been written on that channel	co zostało napisane na tym kanale	1
8506	Slack	CheckChannelHistory	search for the slack channel history	szukaj historii kanału na slacku	0
8509	Slack	CheckChannelHistory	what has been written on my slack channel	co zostało napisane na moim kanale na slacku	1
8500	Slack	CheckChannelHistory	check history of my slack channel	sprawdź historię kanału na slacku	1
8502	Slack	CheckChannelHistory	get history of my slack channel	przełącz historię kanału na slacku	0
8503	Slack	CheckChannelHistory	show history of my slack channel	pokaż historię kanału na slacku	1
8499	Slack	CheckChannelHistory	check history of slack channel	sprawdź historię kanału na slacku	1
8508	Slack	CheckChannelHistory	what has been written on my channel	co zostało napisane na moim kanale	1
8511	Slack	CheckLastMessages	check latest slack messages	sprawdź ostatnie wiadomości na slacku	1
8529	Slack	CheckLastMessages	search for the last slack messages	wyszukaj ostatnie wiadomości na slacku	1
8524	Slack	CheckLastMessages	find the latest slack messages	znajdź ostatnie wiadomości na slacku	1
8531	Slack	CheckLastMessages	search for my last messages on slack	wyszukaj moje ostatnie wiadomości na slacku	1
8513	Slack	CheckLastMessages	show last slack messages	pokaż ostatnie wiadomości na slacku	1
8521	Slack	CheckLastMessages	get my latest messages on slack	prześlij mi ostatnie wiadomości na slacku	0
8517	Slack	CheckLastMessages	display latest slack messages	pokaż ostatnie wiadomości na slacku	1
8528	Slack	CheckLastMessages	search for the slack messages	wyszukaj wiadomości na slacku	1
8514	Slack	CheckLastMessages	show latest slack messages	pokaż ostatnie wiadomości na slacku	1
8522	Slack	CheckLastMessages	find my latest slack messages	znajdź moje ostatnie wiadomości na slacku	1
8535	Slack	CheckMessagesFromUser	check messages i received on slack from astrid	sprawdź wiadomości które otrzymałem od astrid na slacku	1
8536	Slack	CheckMessagesFromUser	show messages i received on slack from ealdwulf	pokaż wiadomości które otrzymałem od ealdwulf na slacku	1
8539	Slack	CheckMessagesFromUser	show me messages i received on slack from dickon	pokaż mi wiadomości które otrzymałem od dickon na slacku	1
8540	Slack	CheckMessagesFromUser	display recent messages from jesse malton in slack	pokaż ostatnie wiadomości od jesse malton na slacku	1
8537	Slack	CheckMessagesFromUser	show me recent messages from hank kady in slack	pokaż mi ostatnie wiadomości od hank kady na slacku	1
8543	Slack	CheckMessagesFromUser	get recent messages from katey in slack	ściągnij ostatnie wiadomości od katey na slacku	1
8544	Slack	CheckMessagesFromUser	get messages i received on slack from a.arent	prześlij wiadomości które otrzymałem od a.arent na slacku	1
8538	Slack	CheckMessagesFromUser	show me recent messages from laurence in slack	pokaż mi ostatnie wiadomości od laurence na slacku	1
8541	Slack	CheckMessagesFromUser	display messages i received on slack from shannon kasuba	pokaż wiadomości które otrzymałem od shannon kasuba na slacku	1
8550	Slack	CheckMessagesFromUser	search for the messages i received on slack from melvin chrispen	wyszukaj wiadomości które otrzymałem od melvina chrispen na slacku	1
8555	Slack	CheckMessagesInChannel	display messages i received on slacken time line	pokaż wiadomości które otrzymałem na slacku	0
8552	Slack	CheckMessagesInChannel	check slack messages in river i received in the last hour	sprawdź wiadomości na slackowym kanale który otrzymałem w ciągu ostatniej godziny	1
8558	Slack	CheckMessagesInChannel	get slack messages in steps i received in the last hour	pokaż mi wiadomości na slacku w ciągu ostatniej godziny	0
8551	Slack	CheckMessagesInChannel	check messages i received on slack in party	sprawdź moje wiadomości na slacku w party	1
8557	Slack	CheckMessagesInChannel	get messages i received on slack in possibilities	pokaż mi wiadomości na slacku	0
8556	Slack	CheckMessagesInChannel	display slack messages in fundamentally i received in the last hour	pokaż mi wiadomości na slacku w ciągu ostatniej godziny	0
8563	Slack	CheckMessagesInChannel	search for the recent slack messages in sellers	wyszukaj ostatnie wiadomości na slacku w sprzedawcach	0
8564	Slack	CheckMessagesInChannel	search for the slack messages in confidentially i received in the last hour	wyszukaj wiadomości na slacku które otrzymałem w ciągu ostatniej godziny	0
8561	Slack	CheckMessagesInChannel	find the messages i received on slack in speculate	znajdź mi wiadomości na slacku w spekulacji	1
8560	Slack	CheckMessagesInChannel	find the recent slack messages in services	znajdź ostatnie wiadomości na slacku	1
8591	Slack	CheckUserStatus	what status did lettice set on slack	jaki status ustawił lettice na slacku	1
8588	Slack	CheckUserStatus	find out b.beberwyk status on slack	znajdź status b.beberwyk na slacku	1
8586	Slack	CheckUserStatus	show me joanna kirchmeier status on slack	pokaż mi status joanna kirchmeier na slacku	1
8578	Slack	CheckUserStatus	what is the status of simon bigaud	jaki jest status simona bigauda	1
8565	Slack	CheckUserStatus	check whether b.joris is active on slack	sprawdź status b.joris na slacku	1
8584	Slack	CheckUserStatus	show t.dimitroff status on slack	pokaż status t.dimitroff na slacku	1
8572	Slack	CheckUserStatus	check status of r.vanniello	sprawdź status r.vanniello	1
8577	Slack	CheckUserStatus	status of h.keszler	status h.keszler	1
8582	Slack	CheckUserStatus	display ultan status on slack	wyświetl status ultan na slacku	1
8574	Slack	CheckUserStatus	check what is the status of bramwell	sprawdź status bramwell	1
4383	Console	ConsoleCD	change my directory to Android	zmień katalog na Android	1
4406	Console	ConsoleCD	jump to the node_modules	przeskocz na node_modules	0
4407	Console	ConsoleCD	jump to the gen	przeskocz na gen	0
4402	Console	ConsoleCD	move me to path snap	przenieś mnie do katalogu	0
4369	Console	ConsoleCD	change current path to on_virtual_assistants	zmień obecną ścieżkę na_virtual_assistants	1
4396	Console	ConsoleCD	modify my current directory two two thousand four	modyfikuj katalog na dwa tysiące cztery	0
4380	Console	ConsoleCD	change the current path to rootkit	zmień obecną ścieżkę na rootkit	1
4427	Console	ConsoleCD	change for me my current directory to phrasebooks	zmień moją obecną ścieżkę na phrasebooks	1
4424	Console	ConsoleCD	change for me current directory to 1991	zmień moją obecną ścieżkę na 1991	1
4431	Console	ConsoleCD	set my current directory to dstc8_schema_guided_dialogue	ustaw mi obecną ścieżkę na dstc8_schema_guided_dialogue	0
4674	Console	ConsoleCP	i would like ./ParlAI/parlai/agents/ir_baseline to be in directory ./linux-4.9.9/arch/arm/mach-versatile also	chciałbym żeby <b>ParlAI/parlai/agents/ir_baseline<b> był w katalogu./linux-4.9.9/arch/arm/mach-versatile również	1
4573	Console	ConsoleCP	in catalogue in folder ./linux-4.9.9/Documentation/s390 create a copy of directory ./OmegaT_4.1.5_04_Beta_Linux_64/docs/id	zrób nam kopię katalogu z <beta_Linux_4.9.9/docs/id<b> do <b>linux-4.9.9/Documentation/s390<b>	0
4609	Console	ConsoleCP	in path in folder ./android-studio-4.1/plugins/filePrediction do a copy of ./OmegaT_4.1.5_04_Beta_Source/doc_src/ja	zrób mi kopię katalogu z <a>OmegaT_4.1.5_04_Beta_Source/doc_src/ja	0
4600	Console	ConsoleCP	in catalogue in path ./linux-4.9.9/arch/arm/include/debug make a copy of path ./linux-4.9.9/arch/arm64/mm	zrób nam kopię katalogu z <a>linux-4.9.9/arch/arm64/mm<a> do <a>linux-4.9.9/arch/arm/include/debug	1
4587	Console	ConsoleCP	in directory in directory ./redshift-1.12/data/icons/hicolor/scalable make a copy of directory ./linux-4.9.9/arch/arm/mach-omap1/include	zrób mi kopię katalogu z <a>linux-4.9.9/arch/arm/mach-omap1/include<a> do <a>redshift-1.12/data/icons/hicolor/scalable.	0
4553	Console	ConsoleCP	in path in folder ./lstm-char-cnn/data create a copy of path ./brat-v1.3_Crunchy_Frog/server/lib	zrób mi kopię katalogu z <brat-v1.3_Crunchy_Frog/server/lib<b> do <a>lstm-char-cnn/data	0
4506	Console	ConsoleCP	clone file from ./linux-4.9.9/Documentation/arm/SPEAr to ./linux-4.9.9/Documentation/cgroup-v1	clone plik z./linux-4.9.9/Documentation/arm/SPEAr do./linux-4.9.9/Documentation/cgroup-v1	0
4480	Console	ConsoleCP	copy the directory from ./ulogme/render to ./android-studio/plugins/textmate/lib/bundles/razor	kopiuj katalog z./ulogme/render to./android-studio/plugins/textmate/lib/bundles/razor	0
4630	Console	ConsoleCP	in catalogue in path ./srilm/include do a copy of path ./node_modules/request/tests/ssl	zrób nam kopię katalogu z <a>node_modules/request/tests/ssl	0
4658	Console	ConsoleCP	catalogue ./sling/third_party/zlib/upstream/contrib/vstudio must be in ./android-studio-4.1/bin/lldb/lib/python2.7/lib-tk too	katalog. /sling/third_party/zlib/upstream/contrib/vstudio musi być w./android-studio-4.1/bin/lldb/lib/python2.7/lib-tk również	1
4842	Console	ConsoleEdit	i need to enter files img_esS	potrzebuję wpisać pliki img_esS	0
4829	Console	ConsoleEdit	provide content of the file jumping_on_the_clouds_revisited_py to edit	dostarcz pliku jumping_on_the_clouds_revisited_py to edit	0
4893	Console	ConsoleEdit	emacs the files cut_the_sticks_pdfS	emacs pliki cut_the_sticks_pdfS	1
4910	Console	ConsoleEdit	nano the files searchterms_txtS	nano pliki searchterms_txtS	1
4889	Console	ConsoleEdit	emacs content_tgz	zawartość emacs_tgz	0
4841	Console	ConsoleEdit	i need to enter qeS	potrzebuję wpisać qeS	0
4705	Console	ConsoleEdit	read for me data in template_analiza_konkurencji_pdfS	czytaj mi dane w template_analiza_konkurencji_pdfS	1
4795	Console	ConsoleEdit	i'd like to understand the content of exercise_1_pdfS	chcę zrozumieć zawartość ćwiczeń_1_pdfS	1
4764	Console	ConsoleEdit	tatuaz_4_inspiracje modify its content	tatuaz_4_inspiracje modyfikuj zawartość	1
4817	Console	ConsoleEdit	what's the content of the twalkerchestery	jaki jest zawartość w twalkerchestery	0
5004	Console	ConsoleLS	add all files from the path signal_cli and create a list	dodaj wszystkie pliki z sygnału_cli i stwórz z nich listę	1
4982	Console	ConsoleLS	take files from the 2010 and show them in a list	weź pliki z 2010 roku i stwórz z nich listę	1
4946	Console	ConsoleLS	read the list of files in the path awesome_deep_learning_papers	odczytaj jakie pliki są w katalogu awesome_deep_learning_papers	1
5007	Console	ConsoleLS	add all files from the directory 2007 and create a list	dodaj wszystkie pliki z katalogu 2007 i stwórz z nich listę	1
4990	Console	ConsoleLS	add files from the snap and add them to a list	wyciągnij pliki z snap i dodaj je do listy	1
4942	Console	ConsoleLS	read list of files in the directory anaconda3	odczytaj jakie pliki są w anaconda3	0
4979	Console	ConsoleLS	take files from directory Discord and show them	weź pliki z Discord i stwórz z nich listę	0
4957	Console	ConsoleLS	generate a list of files from the path ulogme	generuj listę plików w ulogme	1
4953	Console	ConsoleLS	create a file list from path contacts_spotify	stwórz listę plików w kontaktach_spotify	0
4991	Console	ConsoleLS	add files from the nltk_data and show them	weź pliki z nltk_data i dodaj je do listy	1
5082	Console	ConsoleMV	to ./android-studio-3.6/jre/jre/lib/management move my directory ./srilm/utils/test/reference	do./android-studio-3.6/jre/jre/lib/management przenieś mi katalog./srilm/utils/test/reference	1
5051	Console	ConsoleMV	move for me file from ./OmegaT_4.1.5_04_Beta_Linux_64/docs/it/images to path ./pytorch/docker/caffe2/ubuntu-14.04-cpu-minimal	przenieś mi plik z </OmegaT_4.1.5_04_Beta_Linux_64/docs/it/images do ścieżki./pytorch/docker/caffe2/ubuntu-14.04-cpu-minimal	0
5086	Console	ConsoleMV	do not copy but move folder ./pytorch/torch/csrc/jit/fuser to ./pytorch/caffe2/serialize	nie kopiuj tylko przenieś plik./pytorch/torch/csrc/jit/fuser do./pytorch/caffe2/serialize	1
5067	Console	ConsoleMV	change place of the mom good found point one fiver for dawseeing tods tuna gronster winson	zmień miejsce matki dobrze odnaleziono pierwszą piosenkę dla dawseeing tods tuna gronster winson	0
5081	Console	ConsoleMV	to ./android-studio-3.6/plugins/copyright/lib move my file ./JNN/src/org/nd4j/linalg/indexing	do./android-studio-3.6/plugins/copyright/lib przenieś plik./JNN/src/org/nd4j/linalg/indexing	0
5048	Console	ConsoleMV	move for me from ./android-studio-4.1/plugins/vcs-changeReminder/lib to directory ./JNN/src/org/nd4j/linalg/ops	przenieś mi katalog z./android-studio-4.1/plugins/vcs-changeReminder/lib do./JNN/src/org/nd4j/linalg/ops	0
5044	Console	ConsoleMV	move for me from ./android-studio/jre/legal/jdk.internal.ed to ./pytorch/torch/csrc/autograd	przenieś mi z./android-studio/jre/legal/jdk.internal.ed do./pytorch/torch/csrc/autograd	0
5040	Console	ConsoleMV	move my path from ./android-studio/plugins/git4idea to ./cs231n/assignment1	przenieś mi plik z./android-studio/plugins/git4idea do ścieżki./cs231n/assignment1	0
5090	Console	ConsoleMV	do not copy but move my folder ./JNN/src/org/nd4j/linalg/api to ./linux-4.9.9/arch/arm/include/uapi/asm	nie kopiuj tylko przenieś plik./JNN/src/org/nd4j/linalg/api do./linux-4.9.9/arch/arm/include/uapi/asm	0
5037	Console	ConsoleMV	move my directory from ./pytorch/caffe2/contrib/shm_mutex to path ./android-studio-4.1/plugins/android-apk	przenieś mi katalog z./pytorch/caffe2/contrib/shm_mutex do ścieżki./android-studio-4.1/plugins/android-apk	0
