id	domain	intent	src	src_bio	src_xml	translated-tgt_xml	translated-tgt_plain_post	eval_text_translation	eval_slot_translation
3723	Calendar	AddEventOnDateWithName	schedule an event with title meeting with graham in the calendar November 2nd	o o o o o b-event_name i-event_name i-event_name o o o b-date i-date	schedule an event with title <b>meeting with graham<b> in the calendar <a>November 2nd<a>	ustaw w kalendarzu wydarzenie o temacie <b>spotkanie z grahamem<b> <a>drugiego listopada<a>	ustaw w kalendarzu wydarzenie o temacie spotkanie z grahamem drugiego listopada	1	1
3715	Calendar	AddEventOnDateWithName	create an event in my calendar July 21st and give it a title lunch with jonas	o o o o o o b-date i-date o o o o o b-event_name i-event_name i-event_name	create an event in my calendar <a>July 21st<a> and give it a title <b>lunch with jonas<b>	utwórz wydarzenie w moim kalendarzu <a>21 lipca<a> w temacie wpisując <b>fwd restauracje w toronto i londynie<b>	utwórz wydarzenie w moim kalendarzu 21 lipca w temacie wpisując fwd restauracje w toronto i londynie	0	0
3710	Calendar	AddEventOnDateWithName	create an event called jaynie birhday December 28th	o o o o b-event_name i-event_name b-date i-date	create an event called <b>jaynie birhday<b> <a>December 28th<a>	stwórz wydarzenie o nazwie <b>jaynie birhday<b> <a>28 grudnia<a>	stwórz wydarzenie o nazwie jaynie birhday 28 grudnia	1	1
3725	Calendar	AddEventOnDateWithName	set me lunch with toby on 7th May 2024	o o b-event_name i-event_name i-event_name b-date i-date i-date i-date	set me <b>lunch with toby<b> <a>on 7th May 2024<a>	ustaw mi <b>lunch z toby<b> <a>siódmego maja 2024<a>	ustaw mi lunch z toby siódmego maja 2024	1	1
3727	Calendar	AddEventOnDateWithName	tell me later that flight to ellicott city January 7th	o o o o b-event_name i-event_name i-event_name i-event_name b-date i-date	tell me later that <b>flight to ellicott city<b> <a>January 7th<a>	powiedz mi potem że <b>lot do miasta ellicott<b> <a>siódmego stycznia<a>	powiedz mi potem że lot do miasta ellicott siódmego stycznia	1	1
3708	Calendar	AddEventOnDateWithName	add an event to the calendar March 18th and give it a title meeting with robin	o o o o o o b-date i-date o o o o o b-event_name i-event_name i-event_name	add an event to the calendar <a>March 18th<a> and give it a title <b>meeting with robin<b>	dodaj wydarzenie do kalendarza <a>18 marca<a> w temacie wpisując <b>spotkanie z robinem<b>	dodaj wydarzenie do kalendarza 18 marca w temacie wpisując spotkanie z robinem	1	1
3705	Calendar	AddEventOnDateWithName	add an event to my calendar March 27th and name it dinner with calvin	o o o o o o b-date i-date o o o b-event_name i-event_name i-event_name	add an event to my calendar <a>March 27th<a> and name it <b>dinner with calvin<b>	dodaj wydarzenie do mojego kalendarza <a>27 marca<a> i nazwij to <b>kolacja z calvinem<b>	dodaj wydarzenie do mojego kalendarza 27 marca i nazwij to kolacja z calvinem	1	1
3716	Calendar	AddEventOnDateWithName	create an event in the calendar on 12th June and call it venetia birhday	o o o o o o b-date i-date i-date o o o b-event_name i-event_name	create an event in the calendar <a>on 12th June<a> and call it <b>venetia birhday<b>	utwórz w kalendarzu wydarzenie <a>12 czerwca<a> o nazwie <b>wenetia birhday<b>	utwórz w kalendarzu wydarzenie 12 czerwca o nazwie wenetia birhday	1	0
3713	Calendar	AddEventOnDateWithName	create an event on wednesday and call it dinner with sarah kucera	o o o b-date i-date o o o b-event_name i-event_name i-event_name i-event_name	create an event <a>on wednesday<a> and call it <b>dinner with sarah kucera<b>	utwórz wydarzenie w <a>środę<a> na <b>kolację z sarą kucera<b>	utwórz wydarzenie w środę na kolację z sarą kucera	1	1
3827	Calendar	AddEventWithName	don't let me forget of dinner with dallas	o o o o o b-event_name i-event_name i-event_name	don't let me forget of <a>dinner with dallas<a>	nie pozwól mi zapomnieć o <a>kolacji z katowicami<a>	nie pozwól mi zapomnieć o kolacji z katowicami	0	0
3739	Calendar	AddEventWithName	add a reminder glenda birhday to my calendar	o o o b-event_name i-event_name o o o	add a reminder <a>glenda birhday<a> to my calendar	dodaj przypomnienie <a>glenda birhday<a> do mojego kalendarza	dodaj przypomnienie glenda birhday do mojego kalendarza	1	1
3788	Calendar	AddEventWithName	save a reminder dinner with johnny in my calendar	o o o b-event_name i-event_name i-event_name o o o	save a reminder <a>dinner with johnny<a> in my calendar	zapisz przypomnienie <a>kolacja z johnny<a> w moim kalendarzu	zapisz przypomnienie kolacja z johnny w moim kalendarzu	1	1
3798	Calendar	AddEventWithName	schedule an appointment dinner with bronwyn	o o o b-event_name i-event_name i-event_name	schedule an appointment <a>dinner with bronwyn<a>	zaplanuj <a>kolację z bronwynem<a>	zaplanuj kolację z bronwynem	0	1
3784	Calendar	AddEventWithName	save a meeting called meeting with wilma in my calendar	o o o o b-event_name i-event_name i-event_name o o o	save a meeting called <a>meeting with wilma<a> in my calendar	zapisz w moim kalendarzu spotkanie o nazwie <a>spotkanie z wilką<a>	zapisz w moim kalendarzu spotkanie o nazwie spotkanie z wilką	1	0
3750	Calendar	AddEventWithName	create a reminder meeting with lorraine in my calendar	o o o b-event_name i-event_name i-event_name o o o	create a reminder <a>meeting with lorraine<a> in my calendar	utwórz w moim kalendarzu przypomnienie o <a>spotkaniu z lorrainą<a>	utwórz w moim kalendarzu przypomnienie o spotkaniu z lorrainą	1	1
3761	Calendar	AddEventWithName	create a new an appointment lunch with jerome in my calendar	o o o o o b-event_name i-event_name i-event_name o o o	create a new an appointment <a>lunch with jerome<a> in my calendar	utwórz w moim kalendarzu nowy <a>lunch z jerome<a>	utwórz w moim kalendarzu nowy lunch z jerome	1	1
3747	Calendar	AddEventWithName	create a meeting cold thanksgiving	o o o o b-event_name	create a meeting cold <a>thanksgiving<a>	utwórz spotkanie z zimnym <a>świątecznym<a>	utwórz spotkanie z zimnym świątecznym	0	0
3813	Calendar	AddEventWithName	schedule a reminder bryan birhday	o o o b-event_name i-event_name	schedule a reminder <a>bryan birhday<a>	ustaw przypomnienie <a>bryan birhday<a>	ustaw przypomnienie bryan birhday	1	1
3738	Calendar	AddEventWithName	add a reminder owen birhday	o o o b-event_name i-event_name	add a reminder <a>owen birhday<a>	dodaj przypomnienie <a>owen birhday<a>	dodaj przypomnienie owen birhday	1	1
9459	Spotify	AddSongToPlaylist	download that track to my default playlist	o o o o o o o	download that track to my default playlist	ściągnij ten utwór na mojej liście odtwarzania	ściągnij ten utwór na mojej liście odtwarzania	0	1
9455	Spotify	AddSongToPlaylist	download this track to my default playlist	o o o o o o o	download this track to my default playlist	ściągnij ten utwór na mojej liście odtwarzania	ściągnij ten utwór na mojej liście odtwarzania	0	1
9450	Spotify	AddSongToPlaylist	keep that track	o o o	keep that track	zachowaj tę piosenkę	zachowaj tę piosenkę	1	1
9470	Spotify	AddSongToPlaylist	remember current track on my default playlist	o o o o o o o	remember current track on my default playlist	zapamiętaj tę piosenkę na mojej liście odtwarzania	zapamiętaj tę piosenkę na mojej liście odtwarzania	0	1
9442	Spotify	AddSongToPlaylist	save that song	o o o	save that song	zapisz tę piosenkę	zapisz tę piosenkę	1	1
9471	Spotify	AddSongToPlaylist	i love this music	o o o o	i love this music	uwielbiam tę muzykę	uwielbiam tę muzykę	1	1
9453	Spotify	AddSongToPlaylist	keep current song on my default playlist	o o o o o o o	keep current song on my default playlist	zachowaj tę piosenkę na mojej liście odtwarzania	zachowaj tę piosenkę na mojej liście odtwarzania	0	1
9467	Spotify	AddSongToPlaylist	remember that track	o o o	remember that track	zapamiętaj ten utwór	zapamiętaj ten utwór	1	1
9472	Spotify	AddSongToPlaylist	i love this album	o o o o	i love this album	uwielbiam ten album	uwielbiam ten album	1	1
9448	Spotify	AddSongToPlaylist	keep that song	o o o	keep that song	zachowaj tę piosenkę	zachowaj tę piosenkę	1	1
9343	Spotify	AddSongToPlaylistWithName	keep currently playing track to blend 20 playlist on spotify	o o o o o b-playlist i-playlist o o o	keep currently playing track to <a>blend 20<a> playlist on spotify	kontynuuj tę piosenkę na liście odtwarzania <a>blend 20<a>	kontynuuj tę piosenkę na liście odtwarzania blend 20	0	1
9366	Spotify	AddSongToPlaylistWithName	remember currently playing on my playlist big in japan	o o o o o o b-playlist i-playlist i-playlist	remember currently playing on my playlist <a>big in japan<a>	zapamiętaj tę piosenkę na mojej liście odtwarzania <a>big in japan<a>	zapamiętaj tę piosenkę na mojej liście odtwarzania big in japan	1	1
9190	Spotify	AddSongToPlaylistWithName	save that track to my playlist rock covers on spotify	o o o o o o b-playlist i-playlist o o	save that track to my playlist <a>rock covers<a> on spotify	zapisz ten utwór na mojej liście odtwarzania <a>rock covers<a>	zapisz ten utwór na mojej liście odtwarzania rock covers	0	1
9160	Spotify	AddSongToPlaylistWithName	add that track to my playlist 1980s number ones on spotify	o o o o o o b-playlist i-playlist i-playlist o o	add that track to my playlist <a>1980s number ones<a> on spotify	dodaj ten utwór do mojej playlisty <a>1980s number ones<a>	dodaj ten utwór do mojej playlisty 1980s number ones	0	1
9393	Spotify	AddSongToPlaylistWithName	remember this on various artists playlist	o o o b-playlist i-playlist o	remember this on <a>various artists<a> playlist	zapamiętaj tę piosenkę na liście odtwarzania <a>various artists<a>	zapamiętaj tę piosenkę na liście odtwarzania various artists	1	1
9165	Spotify	AddSongToPlaylistWithName	add currently playing to playlist boxer rebellion on spotify	o o o o o b-playlist i-playlist o o	add currently playing to playlist <a>boxer rebellion<a> on spotify	dodaj tę piosenkę do listy odtwarzania <a>boxer rebellion<a>	dodaj tę piosenkę do listy odtwarzania boxer rebellion	0	1
9425	Spotify	AddSongToPlaylistWithName	remember currently playing song on playlist i hate youngboy	o o o o o o b-playlist i-playlist i-playlist	remember currently playing song on playlist <a>i hate youngboy<a>	zapamiętaj tę piosenkę na liście odtwarzania <a>i hate youngboy<a>	zapamiętaj tę piosenkę na liście odtwarzania i hate youngboy	1	1
9225	Spotify	AddSongToPlaylistWithName	save this song to playlist driving driving driving	o o o o o b-playlist i-playlist i-playlist	save this song to playlist <a>driving driving driving<a>	zapisz ten utwór na liście odtwarzania <a>driving driving<a>	zapisz ten utwór na liście odtwarzania driving driving	0	0
9333	Spotify	AddSongToPlaylistWithName	keep currently playing to repeat repeat repeat playlist on spotify	o o o o b-playlist i-playlist i-playlist o o o	keep currently playing to <a>repeat repeat repeat<a> playlist on spotify	odtwarzaj tę piosenkę na liście odtwarzania która się nazywa <a>repeat repeat repeat<a>	odtwarzaj tę piosenkę na liście odtwarzania która się nazywa repeat repeat repeat	0	1
9421	Spotify	AddSongToPlaylistWithName	remember currently playing on playlist ball is life on spotify	o o o o o b-playlist i-playlist i-playlist o o	remember currently playing on playlist <a>ball is life<a> on spotify	zapamiętaj tę piosenkę na liście odtwarzania <a>ball is life<a>	zapamiętaj tę piosenkę na liście odtwarzania ball is life	0	1
9531	Spotify	AddSongWithNameToPlaylistWithName	save a track colostomy bag on playlist fighting game on spotify	o o o b-song i-song o o b-playlist i-playlist o o	save a track <a>colostomy bag<a> on playlist <b>fighting game<b> on spotify	zapisz piosenkę <b>colostomy bag<b> na liście odtwarzania <a>fighting game<a>	zapisz piosenkę colostomy bag na liście odtwarzania fighting game	0	0
9554	Spotify	AddSongWithNameToPlaylistWithName	keep the track godess on my playlist february 2019 on spotify	o o o b-song o o o b-playlist i-playlist o o	keep the track <a>godess<a> on my playlist <b>february 2019<b> on spotify	zapisz utwór <b>godess<b> na mojej liście odtwarzania <a>february 2019<a>	zapisz utwór godess na mojej liście odtwarzania february 2019	0	0
9583	Spotify	AddSongWithNameToPlaylistWithName	remember the song rhythm box on back road into town playlist on spotify	o o o b-song i-song o b-playlist i-playlist i-playlist i-playlist o o o	remember the song <a>rhythm box<a> on <b>back road into town<b> playlist on spotify	zapamiętaj piosenkę <b>rhythm box<b> na liście odtwarzania <a>back road into town<a>	zapamiętaj piosenkę rhythm box na liście odtwarzania back road into town	0	0
9600	Spotify	AddSongWithNameToPlaylistWithName	extend playlist youth camp 2022 with end side one song	o o b-playlist i-playlist i-playlist o b-song i-song i-song o	extend playlist <b>youth camp 2022<b> with <a>end side one<a> song	przedłużaj playlistę <a>youth camp 2022<a> o piosence <b>end side one<b>	przedłużaj playlistę youth camp 2022 o piosence end side one	0	0
9494	Spotify	AddSongWithNameToPlaylistWithName	add a sie liebten sich gigantisch to city to city playlist on spotify	o o b-song i-song i-song i-song o b-playlist i-playlist i-playlist o o o	add a <a>sie liebten sich gigantisch<a> to <b>city to city<b> playlist on spotify	dodaj utwór <b>sie liebten sich gigantisch<b> do playlisty <a>city to city<a>	dodaj utwór sie liebten sich gigantisch do playlisty city to city	0	0
9518	Spotify	AddSongWithNameToPlaylistWithName	save the track wolves blood on my playlist the ultimate summer on spotify	o o o b-song i-song o o o b-playlist i-playlist i-playlist o o	save the track <a>wolves blood<a> on my playlist <b>the ultimate summer<b> on spotify	zapisz utwór <b>wolves blood<b> na mojej liście odtwarzania <a>the ultimate summer<a>	zapisz utwór wolves blood na mojej liście odtwarzania the ultimate summer	0	0
9593	Spotify	AddSongWithNameToPlaylistWithName	remember a song gib ein zeichen on playlist big smoke on spotify	o o o b-song i-song i-song o o b-playlist i-playlist o o	remember a song <a>gib ein zeichen<a> on playlist <b>big smoke<b> on spotify	zapamiętaj piosenkę <b>gib ein zeichen<b> na liście odtwarzania <a>big smoke<a>	zapamiętaj piosenkę gib ein zeichen na liście odtwarzania big smoke	0	0
9556	Spotify	AddSongWithNameToPlaylistWithName	keep a when jesus beckons me home on playlist spotify finds	o o b-song i-song i-song i-song i-song o o b-playlist i-playlist	keep a <a>when jesus beckons me home<a> on playlist <b>spotify finds<b>	dodaj <b>when jesus beckons me home<b> do listy odtwarzania <a>spotify finds<a>	dodaj when jesus beckons me home do listy odtwarzania spotify finds	1	0
9570	Spotify	AddSongWithNameToPlaylistWithName	remember track gates of fire on playlist friday night funkin on spotify	o o b-song i-song i-song o o b-playlist i-playlist i-playlist o o	remember track <a>gates of fire<a> on playlist <b>friday night funkin<b> on spotify	zapamiętaj utwór <b>gates of fire<b> na liście odtwarzania <a>friday night funkin<a>	zapamiętaj utwór gates of fire na liście odtwarzania friday night funkin	0	0
9598	Spotify	AddSongWithNameToPlaylistWithName	remember a track king of the dancehall on out of sight out of mind playlist	o o o b-song i-song i-song i-song o b-playlist i-playlist i-playlist i-playlist i-playlist i-playlist o	remember a track <a>king of the dancehall<a> on <b>out of sight out of mind<b> playlist	zapamiętaj utwór <b>king of the dancehall<b> na liście odtwarzania <a>out of sight out of mind<a>	zapamiętaj utwór king of the dancehall na liście odtwarzania out of sight out of mind	1	0
7124	Fitbit	AddWeight	add my weight to fitbit	o o o o o	add my weight to fitbit	dodaj moją wagę do fitbit	dodaj moją wagę do fitbit	1	1
7135	Fitbit	AddWeight	make a note of my weight on fitbit	o o o o o o o o	make a note of my weight on fitbit	zanotuj na fitbicie moją wagę	zanotuj na fitbicie moją wagę	1	1
7141	Fitbit	AddWeight	help me control my weight	o o o o o	help me control my weight	pomóż mi kontrolować moją wagę	pomóż mi kontrolować moją wagę	1	1
7132	Fitbit	AddWeight	remember my mass on my fitbit	o o o o o o	remember my mass on my fitbit	zanotuj na fitbicie moją wagę	zanotuj na fitbicie moją wagę	1	1
7128	Fitbit	AddWeight	record my mass on fitbit	o o o o o	record my mass on fitbit	nagraj moją wagę w fitbicie	nagraj moją wagę w fitbicie	1	1
7129	Fitbit	AddWeight	record my mass on my fitbit	o o o o o o	record my mass on my fitbit	nagraj moją wagę w fitbicie	nagraj moją wagę w fitbicie	0	1
7139	Fitbit	AddWeight	register my mass on fitbit	o o o o o	register my mass on fitbit	zarejestruj moją wagę w fitbicie	zarejestruj moją wagę w fitbicie	1	1
7125	Fitbit	AddWeight	add my weight to my fitbit	o o o o o o	add my weight to my fitbit	dodaj moją wagę do fitbit	dodaj moją wagę do fitbit	0	1
7133	Fitbit	AddWeight	log my weight	o o o	log my weight	podaj moją wagę	podaj moją wagę	0	1
7137	Fitbit	AddWeight	write down my mass on fitbit	o o o o o o	write down my mass on fitbit	wypisz na fitbicie moją wagę	wypisz na fitbicie moją wagę	1	1
8229	Phone	CallContact	dial ras number	o b-to o	dial <a>ras<a> number	<a>ras<a> przedzwoń	ras przedzwoń	0	1
8261	Phone	CallContact	connect me with phone kent via phone	o o o o b-to o o	connect me with phone <a>kent<a> via phone	połącz mnie z <a>kent<a>	połącz mnie z kent	0	1
8212	Phone	CallContact	call electra	o b-to	call <a>electra<a>	zadzwoń do <a>electra<a>	zadzwoń do electra	1	1
8281	Phone	CallContact	get me renferd on the phone right now	o o b-to o o o o o	get me <a>renferd<a> on the phone right now	włącz mi teraz <a>renferd<a> w telefonie	włącz mi teraz renferd w telefonie	0	1
8265	Phone	CallContact	get me shari on the phone	o o b-to o o o	get me <a>shari<a> on the phone	włącz mi <a>shari<a> w telefonie	włącz mi shari w telefonie	0	1
8240	Phone	CallContact	phone o'rourke	o b-to	phone <a>o'rourke<a>	<a>o'rourke<a> dzwoń	o'rourke dzwoń	1	1
8278	Phone	CallContact	get me wivina on the phone right now	o o b-to o o o o o	get me <a>wivina<a> on the phone right now	włącz mi teraz <a>wivina<a> w telefonie	włącz mi teraz wivina w telefonie	0	1
8245	Phone	CallContact	phone to aline	o o b-to	phone to <a>aline<a>	zadzwoń do <a>aline<a>	zadzwoń do aline	1	1
8274	Phone	CallContact	get me mcculloch on the phone right now	o o b-to o o o o o	get me <a>mcculloch<a> on the phone right now	włącz mi teraz <a>mcculloch<a>	włącz mi teraz mcculloch	0	1
8209	Phone	CallContact	call anagnos	o b-to	call <a>anagnos<a>	zadzwoń do <a>anagnos<a>	zadzwoń do anagnos	1	1
8284	Phone	CallEmergency	call fire department	o o o	call fire department	dzwoń na straż pożarną	dzwoń na straż pożarną	1	1
8292	Phone	CallEmergency	connect me with police	o o o o	connect me with police	połącz mnie z policją	połącz mnie z policją	1	1
8290	Phone	CallEmergency	connect me with ambulance	o o o o	connect me with ambulance	połącz mnie z karetką	połącz mnie z karetką	1	1
8283	Phone	CallEmergency	call ambulance	o o	call ambulance	dzwoń na 112	dzwoń na 112	1	1
8291	Phone	CallEmergency	connect me with fire department	o o o o o	connect me with fire department	połącz mnie z straż pożarną	połącz mnie z straż pożarną	1	1
8289	Phone	CallEmergency	dial emergency services	o o o	dial emergency services	przedzwoń na numer alarmowy	przedzwoń na numer alarmowy	1	1
8298	Phone	CallEmergency	please get help for me	o o o o o	please get help for me	proszę znajdź mi pomoc	proszę znajdź mi pomoc	1	1
8285	Phone	CallEmergency	call police	o o	call police	dzwoń na policję	dzwoń na policję	1	1
8288	Phone	CallEmergency	dial police	o o	dial police	przedzwoń na policję	przedzwoń na policję	1	1
8294	Phone	CallEmergency	connect me with emergency services	o o o o o	connect me with emergency services	połącz mnie z usługą awaryjną	połącz mnie z usługą awaryjną	1	1
8306	Phone	CallNumber	call number 267319722	o o b-phone_number	call number <a>267319722<a>	dzwoń na <a>267319722<a>	dzwoń na 267319722	1	1
8348	Phone	CallNumber	get me 142420237 on the phone	o o b-phone_number o o o	get me <a>142420237<a> on the phone	włącz mi <a>142420237<a> na telefonie	włącz mi 142420237 na telefonie	0	1
8303	Phone	CallNumber	call number +34513846842	o o b-phone_number	call number <a>+34513846842<a>	<a>+34513846842<a> dzwoń	+34513846842 dzwoń	1	1
8329	Phone	CallNumber	phone number 694687941	o o b-phone_number	phone number <a>694687941<a>	numer telefonu <a>694687941<a>	numer telefonu 694687941	1	1
8320	Phone	CallNumber	dial number 773249137	o o b-phone_number	dial number <a>773249137<a>	przedzwoń do <a>773249137<a>	przedzwoń do 773249137	1	1
8313	Phone	CallNumber	dial number 252265889	o o b-phone_number	dial number <a>252265889<a>	przedzwoń do <a>252265889<a>	przedzwoń do 252265889	1	1
8321	Phone	CallNumber	phone 279561749	o b-phone_number	phone <a>279561749<a>	<a>279561749<a> dzwoń	279561749 dzwoń	1	1
8343	Phone	CallNumber	connect me with phone number +34489669417	o o o o o b-phone_number	connect me with phone number <a>+34489669417<a>	połącz mnie z numerem <a>+34489669417<a>	połącz mnie z numerem +34489669417	1	1
8336	Phone	CallNumber	connect me with phone 00589999000	o o o o b-phone_number	connect me with phone <a>00589999000<a>	połącz mnie z <a>00589999000<a>	połącz mnie z 00589999000	1	1
8315	Phone	CallNumber	dial number 254533214	o o b-phone_number	dial number <a>254533214<a>	przedzwoń do <a>254533214<a>	przedzwoń do 254533214	1	1
15251	Wikipedia	ChangeLanguageToLanguage	display this article in french	o o o o o	display this article in french	pokaż ten artykuł w języku francuskim	pokaż ten artykuł w języku francuskim	1	1
15218	Wikipedia	ChangeLanguageToLanguage	show that page in ukrainian language	o o o o o o	show that page in ukrainian language	pokaż stronę w języku ukraińskim	pokaż stronę w języku ukraińskim	1	1
15167	Wikipedia	ChangeLanguageToLanguage	change language of this article to german	o o o o o o o	change language of this article to german	zmień język tego artykułu na niemiecki	zmień język tego artykułu na niemiecki	1	1
15156	Wikipedia	ChangeLanguageToLanguage	change language to ukrainian	o o o o	change language to ukrainian	zmień język strony na ukraiński	zmień język strony na ukraiński	1	1
15232	Wikipedia	ChangeLanguageToLanguage	show that article in chinese	o o o o o	show that article in chinese	pokaż ten artykuł w języku chińskim	pokaż ten artykuł w języku chińskim	1	1
15158	Wikipedia	ChangeLanguageToLanguage	change language to portuguese	o o o o	change language to portuguese	zmień język strony na portugalski	zmień język strony na portugalski	1	1
15285	Wikipedia	ChangeLanguageToLanguage	display that article in ukrainian language	o o o o o o	display that article in ukrainian language	pokaż artykuł w języku ukraińskim	pokaż artykuł w języku ukraińskim	1	1
15281	Wikipedia	ChangeLanguageToLanguage	display that article in italian language	o o o o o o	display that article in italian language	pokaż artykuł w języku włoskim	pokaż artykuł w języku włoskim	1	1
15239	Wikipedia	ChangeLanguageToLanguage	display this page in italian language	o o o o o o	display this page in italian language	pokaż tę stronę w języku włoskim	pokaż tę stronę w języku włoskim	1	1
15175	Wikipedia	ChangeLanguageToLanguage	switch language to chinese	o o o o	switch language to chinese	przełącz język strony na chiński	przełącz język strony na chiński	1	1
3356	Airconditioner	ChangeTemperature	modify the maximum temperature on the thermostat	o o o o o o o	modify the maximum temperature on the thermostat	modyfikuj temperaturę maksymalną na termostacie	modyfikuj temperaturę maksymalną na termostacie	1	1
3359	Airconditioner	ChangeTemperature	adjust the maximum temperature on my thermostat	o o o o o o o	adjust the maximum temperature on my thermostat	dostosuj temperaturę maksymalną na moim termostacie	dostosuj temperaturę maksymalną na moim termostacie	1	1
3349	Airconditioner	ChangeTemperature	set the minimum and maximum temperatures on the thermostat	o o o o o o o o o	set the minimum and maximum temperatures on the thermostat	przestaw temperaturę minimalną i maksymalną na termostacie	przestaw temperaturę minimalną i maksymalną na termostacie	1	1
3362	Airconditioner	ChangeTemperature	it is too hot and here	o o o o o o	it is too hot and here	jest tu za gorąco	jest tu za gorąco	1	1
3353	Airconditioner	ChangeTemperature	set the minimum and maximum temperatures on my thermostat	o o o o o o o o o	set the minimum and maximum temperatures on my thermostat	przestaw temperaturę minimalną i maksymalną na moim termostacie	przestaw temperaturę minimalną i maksymalną na moim termostacie	1	1
3347	Airconditioner	ChangeTemperature	change the maximum temperature on the thermostat	o o o o o o o	change the maximum temperature on the thermostat	zmień temperaturę maksymalną na termostacie	zmień temperaturę maksymalną na termostacie	1	1
3354	Airconditioner	ChangeTemperature	modify the minimum temperature on the thermostat	o o o o o o o	modify the minimum temperature on the thermostat	modyfikuj temperaturę minimalną na termostacie	modyfikuj temperaturę minimalną na termostacie	1	1
3345	Airconditioner	ChangeTemperature	change the minimum temperature on the thermostat	o o o o o o o	change the minimum temperature on the thermostat	zmień temperaturę minimalną na termostacie	zmień temperaturę minimalną na termostacie	1	1
3363	Airconditioner	ChangeTemperature	it is too hot in here	o o o o o o	it is too hot in here	jest tu za gorąco	jest tu za gorąco	1	1
3357	Airconditioner	ChangeTemperature	modify the minimum and maximum temperatures on my thermostat	o o o o o o o o o	modify the minimum and maximum temperatures on my thermostat	modyfikuj temperaturę minimalną i maksymalną na moim termostacie	modyfikuj temperaturę minimalną i maksymalną na moim termostacie	1	1
3839	Calendar	CheckCalendarEventName	check details of appointment called lunch with thelma	o o o o o b-event_name i-event_name i-event_name	check details of appointment called <a>lunch with thelma<a>	sprawdź szczegóły spotkania o nazwie <a>lunch z thelma<a>	sprawdź szczegóły spotkania o nazwie lunch z thelma	1	1
